"","Municipio","Año","Subtipo.de.delito","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","Total"
"1","Estado de Jalisco",2015,"Abuso sexual",112,101,125,122,105,125,115,127,125,180,180,155,1572
"2","Estado de Jalisco",2015,"Acoso sexual",14,8,7,6,5,7,3,7,17,26,21,9,130
"3","Estado de Jalisco",2015,"Feminicidio",4,5,8,2,2,5,5,5,6,8,7,5,62
"4","Estado de Jalisco",2015,"Hostigamiento sexual",0,1,1,1,1,4,2,1,3,5,5,0,24
"5","Estado de Jalisco",2015,"Violación equiparada",0,0,0,1,0,0,0,0,0,4,1,0,6
"6","Estado de Jalisco",2015,"Violación simple",30,27,23,34,35,27,31,34,37,31,28,30,367
"7","Estado de Jalisco",2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Estado de Jalisco",2015,"Violencia familiar",345,362,449,431,462,585,595,574,921,1361,1297,1161,8543
"9","Estado de Jalisco",2016,"Abuso sexual",147,140,168,238,226,208,146,179,192,272,172,257,2345
"10","Estado de Jalisco",2016,"Acoso sexual",30,21,24,26,23,5,2,6,8,33,7,14,199
"11","Estado de Jalisco",2016,"Feminicidio",2,7,6,6,3,2,4,3,5,3,2,5,48
"12","Estado de Jalisco",2016,"Hostigamiento sexual",1,0,1,0,2,22,17,19,17,20,8,12,119
"13","Estado de Jalisco",2016,"Violación equiparada",0,1,1,0,0,0,2,0,0,0,0,0,4
"14","Estado de Jalisco",2016,"Violación simple",28,30,36,45,56,44,38,34,46,38,41,52,488
"15","Estado de Jalisco",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Estado de Jalisco",2016,"Violencia familiar",948,935,1016,1312,1387,936,745,900,801,602,828,1021,11431
"17","Estado de Jalisco",2017,"Abuso sexual",156,183,193,223,234,202,223,195,213,187,185,127,2321
"18","Estado de Jalisco",2017,"Acoso sexual",8,3,6,16,21,22,18,17,19,11,17,14,172
"19","Estado de Jalisco",2017,"Feminicidio",1,0,1,3,3,0,4,2,2,4,1,6,27
